com.samsung.health.step_count
time_offset,end_time,start_time,count,calorie,sample_position_type,update_time,deviceuuid,speed,pkg_name,custom,distance,datauuid,create_time
7200000,2017-11-12 01:45:00.000,2017-11-12 01:44:00.000,9,0.53,,2017-11-12 01:55:01.600,2cfAK/hc79,2.0277777,com.sec.android.app.shealth,,7.43,4c74ae92-c725-47bf-b512-de48dea57f4d,2017-11-12 01:55:01.600
7200000,2017-11-12 01:46:00.000,2017-11-12 01:45:00.000,15,1.14,,2017-11-12 01:55:01.695,2cfAK/hc79,2.2500002,com.sec.android.app.shealth,,14.62,9cc45f58-37af-4e0d-ad00-e7752da6fa5f,2017-11-12 01:55:01.695
7200000,2017-11-12 01:48:00.000,2017-11-12 01:47:00.000,39,2.33,,2017-11-12 01:55:01.778,2cfAK/hc79,2.0277777,com.sec.android.app.shealth,,32.4,ff6ff48f-74db-45ba-a781-aabe3d47a986,2017-11-12 01:55:01.778
7200000,2017-11-12 02:01:00.000,2017-11-12 02:00:00.000,9,0.94,,2017-11-12 02:15:01.323,2cfAK/hc79,2.6388888,com.sec.android.app.shealth,,9.71,9505e117-77ff-4fae-9268-f3d2ea980c5d,2017-11-12 02:15:01.323
7200000,2017-11-12 02:02:00.000,2017-11-12 02:01:00.000,12,1.07,,2017-11-12 02:15:01.401,2cfAK/hc79,1.3333334,com.sec.android.app.shealth,,10.78,7499a1e7-885c-41e7-a9f8-8c40bc532566,2017-11-12 02:15:01.401
7200000,2017-11-12 04:10:00.000,2017-11-12 04:09:00.000,22,2.6699996,,2017-11-12 04:09:57.809,2cfAK/hc79,2.5474637,com.sec.android.app.shealth,,24.320002,71f724d7-2cf3-403b-9052-300daf8705d6,2017-11-12 04:09:51.919
7200000,2017-11-12 04:15:00.000,2017-11-12 04:14:00.000,32,2.16,,2017-11-12 04:14:56.401,2cfAK/hc79,1.75,com.sec.android.app.shealth,,26.71,b7d2bda8-b60b-4463-83f5-c26c6c1ff84d,2017-11-12 04:14:56.401
7200000,2017-11-12 01:44:59.999,2017-11-12 01:44:00.000,24,1.42,230002,2017-11-12 01:47:52.738,GngasoBQob,1.8333334,com.sec.android.app.shealth,,19.5,cf03f67a-d821-b26a-3ed3-03ec37d0eb53,2017-11-12 01:47:52.737
7200000,2017-11-12 01:45:59.999,2017-11-12 01:45:00.000,39,2.26,230002,2017-11-12 01:47:52.762,GngasoBQob,2.0277777,com.sec.android.app.shealth,,32.83,91f8ff86-da67-9750-311c-8c42a672575a,2017-11-12 01:47:52.761
7200000,2017-11-12 01:46:59.999,2017-11-12 01:46:00.000,22,1.28,230002,2017-11-12 01:47:52.780,GngasoBQob,1.8611112,com.sec.android.app.shealth,,17.2,540a20f6-763b-d35c-7f05-30262ff25675,2017-11-12 01:47:52.779
