com.samsung.health.sleep
time_offset,end_time,pkg_name,start_time,custom,comment,datauuid,deviceuuid,update_time,create_time
7200000,2015-12-29 10:00:00.000,com.sec.android.app.shealth,2015-12-29 02:10:00.000,,,9b3c7570-131f-4d0b-9bb0-36829cf88f66,1jGJNdpU+S,2015-12-29 12:00:49.922,2015-12-29 12:00:49.922
7200000,2016-02-09 09:00:00.000,com.sec.android.app.shealth,2016-02-09 00:40:00.000,,,8286bce1-e98e-4951-8fa9-3c6592144f78,1jGJNdpU+S,2016-02-09 13:23:28.588,2016-02-09 13:23:28.588
10800000,2016-06-11 08:10:00.000,com.sec.android.app.shealth,2016-06-11 01:30:00.000,,,cf42cbfe-2804-4571-b1d7-67f4b36804f5,1jGJNdpU+S,2016-06-11 11:13:32.974,2016-06-11 11:13:32.974
10800000,2016-05-05 09:40:00.000,com.sec.android.app.shealth,2016-05-04 23:50:00.000,,,60789c5c-4cf9-4f3f-b287-912870f9415a,1jGJNdpU+S,2016-05-05 11:10:32.469,2016-05-05 11:10:32.469
7200000,2016-02-10 07:10:00.000,com.sec.android.app.shealth,2016-02-09 22:20:00.000,,,33bcdfbd-77ab-429c-a92d-9836b114e6e7,1jGJNdpU+S,2016-02-10 12:01:25.332,2016-02-10 12:01:25.332
7200000,2015-12-27 10:20:00.000,com.sec.android.app.shealth,2015-12-27 01:30:00.000,,,12be5538-c94f-4f2c-8539-8be371253f47,1jGJNdpU+S,2015-12-27 12:22:01.946,2015-12-27 12:22:01.946
7200000,2016-01-12 08:00:00.000,com.sec.android.app.shealth,2016-01-12 01:00:00.000,,,351e17bd-3e11-4ce1-ac16-845ae5fce532,1jGJNdpU+S,2016-01-12 12:11:39.034,2016-01-12 12:11:39.034
10800000,2016-05-06 08:00:00.000,com.sec.android.app.shealth,2016-05-05 23:50:00.000,,,19fa85f7-467d-4107-b2ca-61db3441590a,1jGJNdpU+S,2016-05-06 11:01:38.205,2016-05-06 11:01:38.205
10800000,2016-06-21 09:30:00.000,com.sec.android.app.shealth,2016-06-21 00:00:00.000,,,f96e6df4-8e8a-488a-907d-48d6bafc9d5c,1jGJNdpU+S,2016-06-21 11:02:33.630,2016-06-21 11:02:33.630
7200000,2016-02-08 09:20:00.000,com.sec.android.app.shealth,2016-02-07 23:30:00.000,,,cff8abec-8808-451c-b8f1-60ac94f351dd,1jGJNdpU+S,2016-02-08 13:20:17.169,2016-02-08 13:20:17.169
7200000,2015-11-24 08:00:00.000,com.sec.android.app.shealth,2015-11-24 01:00:00.000,,,c6f4aecb-cc30-4b6a-a882-148abc9e6a9f,1jGJNdpU+S,2015-11-24 08:19:42.812,2015-11-24 08:19:42.812
7200000,2015-12-25 11:40:00.000,com.sec.android.app.shealth,2015-12-25 02:10:00.000,,,c180c409-bfb2-4357-a135-23ca440ed5bf,1jGJNdpU+S,2015-12-25 12:05:54.033,2015-12-25 12:05:54.033
10800000,2016-05-27 08:00:00.000,com.sec.android.app.shealth,2016-05-26 22:10:00.000,,,5d438349-9a0c-45a4-8d39-5d9e3ca04275,1jGJNdpU+S,2016-05-27 13:52:13.613,2016-05-27 13:52:13.613
10800000,2016-07-04 06:00:00.000,com.sec.android.app.shealth,2016-07-03 22:10:00.000,,,437f5167-91c2-4e7b-b622-0d45557fb854,1jGJNdpU+S,2016-07-04 20:47:22.480,2016-07-04 20:47:22.480
10800000,2016-04-20 08:00:00.000,com.sec.android.app.shealth,2016-04-20 01:30:00.000,,,fcb2b6f2-0ea5-4533-af81-0d01b97f2a91,1jGJNdpU+S,2016-04-20 12:56:39.900,2016-04-20 12:56:39.900
7200000,2016-05-14 16:10:00.000,com.sec.android.app.shealth,2016-05-14 06:20:00.000,,,114eafd8-d1f4-4a8a-a456-d94eb8364fec,1jGJNdpU+S,2016-05-14 16:14:54.464,2016-05-14 16:14:54.464
7200000,2016-02-15 08:50:00.000,com.sec.android.app.shealth,2016-02-15 00:30:00.000,,,93aeea37-c435-4dd2-878e-35b9a505e408,1jGJNdpU+S,2016-02-15 12:50:42.751,2016-02-15 12:50:42.751
7200000,2016-01-14 08:00:00.000,com.sec.android.app.shealth,2016-01-14 00:40:00.000,,,21c05bd3-7db4-4fc0-8279-8bc02eeed147,1jGJNdpU+S,2016-01-14 12:00:52.110,2016-01-14 12:00:52.110
10800000,2016-03-28 08:40:00.000,com.sec.android.app.shealth,2016-03-27 23:40:00.000,,,d8e50b37-9710-44ff-bda8-871950c36b5e,1jGJNdpU+S,2016-03-28 19:39:34.319,2016-03-28 19:39:34.319
10800000,2016-05-22 10:40:00.000,com.sec.android.app.shealth,2016-05-22 00:30:00.000,,,4f490054-c18f-4ccd-a89f-2620ad40352b,1jGJNdpU+S,2016-05-22 11:02:38.314,2016-05-22 11:02:38.314
7200000,2016-01-24 04:00:00.000,com.sec.android.app.shealth,2016-01-23 21:00:00.000,,,64916179-42be-4cb2-8860-d724e19fdac2,1jGJNdpU+S,2016-01-24 12:50:39.148,2016-01-24 12:50:39.148
7200000,2016-03-25 07:50:00.000,com.sec.android.app.shealth,2016-03-25 00:00:00.000,,,b731efce-7142-4068-8e63-ef41b2a551cc,1jGJNdpU+S,2016-03-25 12:10:31.635,2016-03-25 12:10:31.635
7200000,2016-02-14 08:50:00.000,com.sec.android.app.shealth,2016-02-14 00:40:00.000,,,aca44531-a2c8-4b5d-8640-8e41f5aa366c,1jGJNdpU+S,2016-02-14 12:00:22.541,2016-02-14 12:00:22.541
7200000,2016-02-12 08:10:00.000,com.sec.android.app.shealth,2016-02-11 22:20:00.000,,,d8ac67f3-13b7-48dc-bac2-5083cc8c5826,1jGJNdpU+S,2016-02-12 14:57:58.815,2016-02-12 14:57:58.815
